Lat,Lon,bus_id,representative_id
44.62,-67.46,229,305
44.84,-73.18,230,121
44.84,-72.96,231,121
44.84,-72.74,232,121
44.84,-72.52,233,121
44.84,-72.3,234,121
44.84,-72.08,235,121
44.84,-71.86,236,263
44.84,-71.64,237,263
44.84,-71.42,238,263
44.84,-71.2,239,263
44.84,-70.98,240,263
44.84,-70.76,241,263
44.84,-70.54,242,263
44.84,-70.32,243,263
44.84,-70.1,244,263
44.84,-69.88,245,263
44.84,-69.66,246,305
44.84,-69.44,247,305
44.84,-69.22,248,305
44.84,-69.0,249,305
44.84,-68.78,250,305
44.84,-68.56,251,305
44.84,-68.34,252,305
44.84,-68.12,253,305
44.84,-67.9,254,305
44.84,-67.68,255,305
44.84,-67.46,256,305
44.84,-67.24,257,305
44.84,-67.02,258,305
45.06,-71.42,259,263
45.06,-71.2,260,263
45.06,-70.98,261,263
45.06,-70.76,262,263
45.06,-70.54,263,263
45.06,-70.32,264,263
45.06,-70.1,265,263
45.06,-69.88,266,263
45.06,-69.66,267,305
45.06,-69.44,268,305
45.06,-69.22,269,305
45.06,-69.0,270,305
45.06,-68.78,271,305
45.06,-68.56,272,305
45.06,-68.34,273,305
45.06,-68.12,274,305
45.06,-67.9,275,305
45.06,-67.68,276,305
45.06,-67.46,277,305
45.06,-67.24,278,305
45.28,-70.98,279,263
45.28,-70.76,280,263
45.28,-70.54,281,263
45.28,-70.32,282,263
45.28,-70.1,283,263
45.28,-69.88,284,263
45.28,-69.66,285,305
45.28,-69.44,286,263
45.28,-69.22,287,263
45.28,-69.0,288,305
45.28,-68.78,289,305
45.28,-68.56,290,305
45.28,-68.34,291,305
45.28,-68.12,292,305
45.28,-67.9,293,305
45.28,-67.68,294,305
45.5,-70.54,295,263
45.5,-70.32,296,263
45.5,-70.1,297,263
45.5,-69.88,298,263
45.5,-69.66,299,263
45.5,-69.44,300,263
45.5,-69.22,301,263
45.5,-69.0,302,305
45.5,-68.78,303,305
45.5,-68.56,304,305
45.5,-68.34,305,305
45.5,-68.12,306,305
45.5,-67.9,307,305
45.5,-67.68,308,305
45.72,-70.32,309,263
45.72,-70.1,310,263
45.72,-69.88,311,263
45.72,-69.66,312,305
45.72,-69.44,313,305
45.72,-69.22,314,305
45.72,-69.0,315,263
45.72,-68.78,316,305
45.72,-68.56,317,305
45.72,-68.34,318,305
45.72,-68.12,319,305
45.72,-67.9,320,305
45.94,-70.1,321,305
45.94,-69.88,322,263
45.94,-69.66,323,305
45.94,-69.44,324,305
45.94,-69.22,325,305
45.94,-69.0,326,305
45.94,-68.78,327,305
45.94,-68.56,328,305
45.94,-68.34,329,305
45.94,-68.12,330,305
45.94,-67.9,331,305
46.16,-70.1,332,305
46.16,-69.88,333,305
46.16,-69.66,334,305
46.16,-69.44,335,305
46.16,-69.22,336,305
46.16,-69.0,337,305
46.16,-68.78,338,263
46.16,-68.56,339,305
46.16,-68.34,340,305
46.16,-68.12,341,305
46.16,-67.9,342,305
46.38,-70.1,343,263
46.38,-69.88,344,305
46.38,-69.66,345,305
46.38,-69.44,346,305
46.38,-69.22,347,305
46.38,-69.0,348,263
46.38,-68.78,349,305
46.38,-68.56,350,305
46.38,-68.34,351,305
46.38,-68.12,352,305
46.38,-67.9,353,305
46.6,-69.88,354,305
46.6,-69.66,355,305
46.6,-69.44,356,305
46.6,-69.22,357,305
46.6,-69.0,358,305
46.6,-68.78,359,305
46.6,-68.56,360,305
46.6,-68.34,361,305
46.6,-68.12,362,305
46.6,-67.9,363,305
46.82,-69.66,364,305
46.82,-69.44,365,305
46.82,-69.22,366,263
46.82,-69.0,367,305
46.82,-68.78,368,305
46.82,-68.56,369,305
46.82,-68.34,370,305
46.82,-68.12,371,305
46.82,-67.9,372,305
47.04,-69.44,373,305
47.04,-69.22,374,305
47.04,-69.0,375,305
47.04,-68.78,376,305
47.04,-68.56,377,305
47.04,-68.34,378,305
47.04,-68.12,379,305
47.04,-67.9,380,305
47.26,-69.22,381,263
47.26,-68.56,382,305
47.26,-68.34,383,305
47.26,-68.12,384,305
