line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
30.0,14.0,13.0,1.0,3167.1,200.3205128,25.6934544,41.570807,-73.067816
31.0,14.0,13.0,1.0,3190.89,246.9135802,25.6934544,41.570807,-73.067816
32.0,14.0,15.0,1.0,2511.47,284.738041,25.9694677,41.570807,-73.067816
33.0,14.0,15.0,1.0,2915.51,350.5082369,32.66426026,41.570807,-73.067816
34.0,15.0,16.0,1.0,2884.84,203.0869212,27.82480057,41.806053,-72.732916
35.0,15.0,16.0,1.0,2625.06,271.2967987,20.54652242,41.806053,-72.732916
36.0,15.0,16.0,1.0,2767.86,341.7634997,27.82480057,41.806053,-72.732916
37.0,14.0,16.0,1.0,2996.38,234.962406,20.3965175,41.570807,-73.067816
38.0,14.0,16.0,1.0,3113.08,249.8750625,20.3965175,41.570807,-73.067816
39.0,0.0,2.0,0.0,2659.6989743589747,258.41416710153845,22.865263340084518,42.642711,-70.865107
40.0,0.0,1.0,0.0,2659.6989743589747,258.41416710153845,29.36306138057872,42.642711,-70.865107
41.0,1.0,2.0,0.0,2659.6989743589747,258.41416710153845,21.777389902423142,42.479477,-71.396507
42.0,1.0,3.0,0.0,2659.6989743589747,258.41416710153845,24.08865138129638,42.479477,-71.396507
43.0,2.0,3.0,0.0,2659.6989743589747,258.41416710153845,13.873851767841778,42.33196,-71.020173
44.0,2.0,1.0,0.0,2659.6989743589747,258.41416710153845,21.777389902423142,42.33196,-71.020173
45.0,3.0,2.0,0.0,2659.6989743589747,258.41416710153845,13.873851767841778,42.169703,-71.179875
46.0,3.0,1.0,0.0,2659.6989743589747,258.41416710153845,24.08865138129638,42.169703,-71.179875
47.0,4.0,12.0,0.0,2659.6989743589747,258.41416710153845,46.16551181940365,41.6442816,-70.5767066
48.0,4.0,3.0,0.0,2659.6989743589747,258.41416710153845,47.77010996212972,41.6442816,-70.5767066
49.0,5.0,1.0,0.0,2659.6989743589747,258.41416710153845,30.13417189088099,42.311693,-71.940282
50.0,5.0,3.0,0.0,2659.6989743589747,258.41416710153845,40.211073265615546,42.311693,-71.940282
51.0,6.0,15.0,0.0,2659.6989743589747,258.41416710153845,38.207313771389984,42.3586905,-72.77623625000001
52.0,6.0,5.0,0.0,2659.6989743589747,258.41416710153845,42.93178206992021,42.3586905,-72.77623625000001
53.0,7.0,8.0,0.0,2659.6989743589747,258.41416710153845,92.6473722928187,44.95841783333333,-69.25041191666666
54.0,7.0,11.0,0.0,2659.6989743589747,258.41416710153845,150.04525956908273,44.95841783333333,-69.25041191666666
55.0,8.0,11.0,0.0,2659.6989743589747,258.41416710153845,69.59831475282687,43.8299905,-70.26305149999999
56.0,8.0,10.0,0.0,2659.6989743589747,258.41416710153845,83.83157289786065,43.8299905,-70.26305149999999
57.0,9.0,11.0,0.0,2659.6989743589747,258.41416710153845,65.6640279829361,44.16137385714286,-72.68527314285714
58.0,9.0,10.0,0.0,2659.6989743589747,258.41416710153845,105.25653552106016,44.16137385714286,-72.68527314285714
59.0,10.0,1.0,0.0,2659.6989743589747,258.41416710153845,32.5217961161424,42.9505015,-71.411269
60.0,10.0,0.0,0.0,2659.6989743589747,258.41416710153845,34.95997013649511,42.9505015,-71.411269
61.0,11.0,10.0,0.0,2659.6989743589747,258.41416710153845,46.41222083133217,43.605611,-71.61812950000001
62.0,11.0,9.0,0.0,2659.6989743589747,258.41416710153845,65.6640279829361,43.605611,-71.61812950000001
63.0,12.0,16.0,0.0,2659.6989743589747,258.41416710153845,39.96312263976061,41.6314806,-71.4682568
64.0,12.0,3.0,0.0,2659.6989743589747,258.41416710153845,40.011670006282635,41.6314806,-71.4682568
65.0,13.0,14.0,0.0,2659.6989743589747,258.41416710153845,28.295275351926207,41.228103,-73.366757
66.0,13.0,15.0,0.0,2659.6989743589747,258.41416710153845,51.6881833068032,41.228103,-73.366757
67.0,14.0,15.0,0.0,2659.6989743589747,258.41416710153845,23.743056981062153,41.570807,-73.067816
68.0,14.0,13.0,0.0,2659.6989743589747,258.41416710153845,28.295275351926207,41.570807,-73.067816
69.0,15.0,14.0,0.0,2659.6989743589747,258.41416710153845,23.743056981062153,41.806053,-72.732916
70.0,15.0,16.0,0.0,2659.6989743589747,258.41416710153845,27.69910212556368,41.806053,-72.732916
71.0,16.0,15.0,0.0,2659.6989743589747,258.41416710153845,27.69910212556368,41.6490575,-72.2398395
72.0,16.0,12.0,0.0,2659.6989743589747,258.41416710153845,39.96312263976061,41.6490575,-72.2398395
